Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Price Change,Return (%),Body Size,Upper Wick,Lower Wick,Volatility,Close_Lag_1,Close_Lag_2,Close_Lag_3,Volume_Lag_1,Volume_Lag_2,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Target_Close
2023-01-03 01:00:00+00:00,16695.59,16696.04,16651.42,16677.6,5606.2077,2023-01-03 01:59:59.999000+00:00,93464173.9245635,183645,2784.63174,46424277.4334205,-17.9900000000016,-0.10775300543437878,17.9900000000016,0.4500000000007276,26.18000000000029,44.62000000000262,16695.59,16672.87,16698.4,5684.61483,6806.55328,16711.841,16712.2365,16627.0342,16702.738332644545,16683.655261950757,40.23765065353905,19.083070693788613,29.35525890993876,-10.272188216150148,16712.2365,16766.178815495812,16658.294184504186,16674.03
2023-01-03 02:00:00+00:00,16677.6,16688.53,16671.6,16674.03,4217.23484,2023-01-03 02:59:59.999000+00:00,70343075.5856594,157371,2049.00981,34177594.9925777,-3.569999999999709,-0.021405957691752468,3.569999999999709,10.930000000000291,2.430000000000291,16.93000000000029,16677.6,16695.59,16672.87,5606.2077,5684.61483,16708.156,16713.882999999998,16629.9214,16698.321666083844,16682.942279584033,41.65173080302204,15.379386499811517,26.560084427913313,-11.180697928101797,16713.882999999998,16760.14663678331,16667.619363216687,16691.81
2023-01-03 03:00:00+00:00,16674.04,16700.28,16666.91,16691.81,4675.39859,2023-01-03 03:59:59.999000+00:00,78006697.4643489,182489,2436.93728,40659273.0922399,17.770000000000437,0.1065728521702025,17.770000000000437,8.469999999997526,7.130000000001019,33.36999999999898,16674.03,16677.6,16695.59,4217.23484,5606.2077,16705.795000000002,16712.4095,16632.728199999998,16697.319871301715,16683.599147762994,49.46111695757929,13.720723538721359,23.992212250074925,-10.271488711353566,16712.4095,16759.550089494533,16665.26891050547,16685.64
2023-01-03 04:00:00+00:00,16691.81,16699.63,16681.79,16685.64,3591.36818,2023-01-03 04:59:59.999000+00:00,59941732.1062934,145297,1762.118,29410894.2559027,-6.170000000001892,-0.03696423575395293,6.170000000001892,7.819999999999709,3.849999999998545,17.840000000000146,16691.81,16674.03,16677.6,4675.39859,4217.23484,16701.978000000003,16710.006,16635.4772,16695.52296802453,16683.750322002772,47.65144152899273,11.772646021756373,21.548299004411213,-9.77565298265484,16710.006,16757.474495214108,16662.537504785894,16725.5
2023-01-03 05:00:00+00:00,16685.21,16727.72,16683.31,16725.5,5214.59458,2023-01-03 05:59:59.999000+00:00,87105306.8891697,200678,2673.69196,44662472.5682821,40.29000000000087,0.24147133898824694,40.29000000000087,2.220000000001164,1.8999999999978172,44.409999999999854,16685.64,16691.81,16674.03,3591.36818,4675.39859,16700.771999999997,16710.406,16639.326399999998,16700.13481909768,16686.842890743308,48.374272327133376,13.291928354370611,19.897024874403094,-6.6050965200324825,16710.406,16758.273535817716,16662.538464182282,16727.58
2023-01-03 06:00:00+00:00,16725.5,16778.4,16722.31,16727.58,7123.40419,2023-01-03 06:59:59.999000+00:00,119264921.7440105,246428,3580.67404,59950558.5220569,2.0800000000017462,0.01243610056501597,2.0800000000017462,50.81999999999971,3.1899999999986903,56.090000000000146,16725.5,16685.64,16691.81,5214.59458,3591.36818,16700.678,16710.3875,16643.441000000003,16704.357154621113,16689.860454391954,53.21129143912012,14.496700229159615,18.816959945354398,-4.3202597161947836,16710.3875,16758.22676415335,16662.54823584665,16729.74
2023-01-03 07:00:00+00:00,16727.58,16732.64,16707.57,16729.74,5504.97638,2023-01-03 07:59:59.999000+00:00,92050875.3686882,194877,2716.38793,45422579.627107,2.1599999999998545,0.01291280627562298,2.1599999999998545,2.899999999997817,20.010000000002037,25.06999999999971,16727.58,16725.5,16685.64,7123.40419,5214.59458,16697.875999999997,16710.119,16647.421599999998,16708.26220775633,16692.814494807364,52.77907157273769,15.447712948964181,18.143110546076358,-2.6953975971121764,16710.119,16757.431405361065,16662.806594638932,16715.22
2023-01-03 08:00:00+00:00,16730.15,16735.84,16698.15,16715.22,7060.75169,2023-01-03 08:59:59.999000+00:00,118021480.4886061,245378,3481.85871,58200411.0832966,-14.930000000000291,-0.0892400845180724,14.930000000000291,5.68999999999869,17.06999999999971,37.68999999999869,16729.74,16727.58,16725.5,5504.97638,7123.40419,16699.557999999997,16709.803,16650.9302,16709.332637332278,16694.47416185867,48.37168745497974,14.858475473607541,17.486183531582594,-2.6277080579750525,16709.803,16756.87804964357,16662.72795035643,16741.31
2023-01-03 09:00:00+00:00,16714.77,16766.0,16714.0,16741.31,6977.90665,2023-01-03 09:59:59.999000+00:00,116782574.6111337,228859,3576.63537,59859939.1122169,26.540000000000873,0.15878172418765485,26.540000000000873,24.68999999999869,0.7700000000004366,52.0,16715.22,16729.74,16727.58,7060.75169,5504.97638,16706.402000000002,16712.1295,16655.2326,16714.25223158885,16697.94348320247,50.67907717938501,16.308748386378284,17.250696502541732,-0.9419481161634486,16712.1295,16760.655206470055,16663.603793529943,16724.32
2023-01-03 10:00:00+00:00,16741.22,16749.1,16721.89,16724.32,5640.0479,2023-01-03 10:59:59.999000+00:00,94391896.866501,189848,2792.93992,46743146.1089722,-16.900000000001455,-0.10094843744960914,16.900000000001455,7.879999999997381,2.430000000000291,27.209999999999127,16741.31,16715.22,16729.74,6977.90665,7060.75169,16709.275,16713.411,16659.4522,16715.801119036718,16699.89729926155,49.2607195662887,15.903819775168813,16.98132115706715,-1.0775013818983368,16713.411,16761.79581314581,16665.02618685419,16721.03
2023-01-03 11:00:00+00:00,16724.0,16737.58,16709.87,16721.03,5897.45752,2023-01-03 11:59:59.999000+00:00,98640536.2067268,192787,2844.17647,47572358.3883478,-2.970000000001164,-0.017758909351836667,2.970000000001164,13.580000000001746,11.159999999999854,27.710000000002765,16724.32,16741.31,16715.22,5640.0479,6977.90665,16713.618,16712.7295,16663.1152,16716.605562261837,16701.462684501435,42.884816551083276,15.142877760401461,16.613632477734015,-1.4707547173325537,16712.7295,16760.23001189749,16665.228988102514,16710.85
2023-01-03 12:00:00+00:00,16721.42,16728.02,16703.0,16710.85,6466.63588,2023-01-03 12:59:59.999000+00:00,108107435.2085697,218679,3212.45692,53705727.3879299,-10.569999999999709,-0.06321233483758981,10.569999999999709,6.600000000002183,7.849999999998545,25.020000000000437,16721.03,16724.32,16741.31,5897.45752,5640.0479,16717.3,16712.728,16666.3654,16715.72009114463,16702.15804120503,52.97946680706366,13.562049939599092,16.00331597010703,-2.44126603050794,16712.728,16760.228759705806,16665.227240294193,16725.53
2023-01-03 13:00:00+00:00,16710.85,16739.93,16709.41,16725.53,7567.34193,2023-01-03 13:59:59.999000+00:00,126566700.4017809,230916,3738.12604,62522130.4595989,14.680000000000291,0.0878471172920605,14.680000000000291,14.400000000001455,1.4399999999986903,30.520000000000437,16710.85,16721.03,16724.32,6466.63588,5897.45752,16720.672,16713.233500000002,16669.7428,16717.22930789161,16703.889297412064,63.292609046848874,13.340010479543707,15.470654871994368,-2.1306443924506606,16713.233500000002,16761.068884513727,16665.398115486278,16661.23
